description,port,status,tcp,udp
NAT Port Mapping Protocol—client-requested configuration for inbound connections through network address translators,5351,Official,True,True
NTalk,518,Official,False,True
nim, IBM AIX Network Installation Manager (NIM),1058,Official,True,True
nimreg, IBM AIX Network Installation Manager (NIM),1059,Official,True,True
LSI RAID Management formerly Symbios Logic,2463,Official,True,True
DirectAdmin default & ESET Remote Administration,2222,Unofficial,True,False
Microsoft Office OS X antipiracy network monitor[citation needed],2223,Unofficial,False,True
NetIQ End2End,2220,Official,True,True
ESET Anti-virus updates,2221,Unofficial,True,False
TCP Port Service Multiplexer (TCPMUX),1,Official,True,True
Digital Video Recorder hardware[citation needed],37777,Unofficial,True,False
Microsoft Media Services (MMS, ms-streaming),1755,Official,True,True
RTP (Real-time Transport Protocol) control protocol (RFC 3551, RFC 4571),5005,Official,True,True
RTP (Real-time Transport Protocol) control protocol (RFC 3551, RFC 4571),5005,Official,True,False
Perceptive Automation Indigo Home automation server,1176,Official,True,False
Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on your local network.,17500,Official,True,True
Internet Message Access Protocol (IMAP)—management of email messages,143,Official,True,False
BitTorrent part of full range of ports used most often,6970–6999,Unofficial,True,True
Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent,1270,Official,True,True
PortStart - WarZ,34010,Unofficial,False,False
Precise TPM Listener Agent,20702,Unofficial,True,False
KnowShowGo P2P,2700–2800,Official,True,False
Battlefield 1942 and mods,14567,Unofficial,False,True
AMX ICSP,1319,Official,True,False
AMX ICSP,1319,Official,False,True
Microsoft Silverlight connectable ports under non-elevated trust,4502-4534,Official,True,False
Web Services Dynamic Discovery (WS-Discovery), used by various components of Windows Vista,3702,Official,True,True
Leonardo over IP Pro2col Ltd,1886,Unofficial,True,False
Battlefield Vietnam and mods,15567,Unofficial,False,True
MQ Telemetry Transport (MQTT), formerly known as MQIsdp (MQSeries SCADA protocol),1883,Official,True,True
FTP proxy[citation needed],2121,Unofficial,True,False
Rexec, Remote Process Execution,512,Official,True,False
comsat, together with biff,512,Official,False,True
SoftPerfect Bandwidth Manager,8702,Unofficial,False,True
D2000 Entis/Actis Application server,3119,Official,True,False
Infowave Mobility Server,2082,Official,True,False
CPanel default,2082,Unofficial,True,False
Secure Radius Service (radsec),2083,Official,True,False
CPanel default SSL,2083,Unofficial,True,False
Autodesk NLM (FLEXlm),2080,Official,True,True
GNUnet,2086,Official,True,False
WebHost Manager default,2086,Unofficial,True,False
WebHost Manager default SSL,2087,Unofficial,True,False
OrbitNet Message Service,4662,Official,False,True
OrbitNet Message Service,4662,Official,True,False
Default for older versions of eMule[60],4662,Unofficial,True,False
Shell—used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh),514,Official,True,False
Syslog—used for system logging,514,Official,False,True
ClientPort - WarZ,34001,Unofficial,False,False
OSIsoft PI Server Client Access,5450,Unofficial,True,False
Solarwinds Kiwi Log Server,1470,Official,True,False
Network Time Protocol (NTP)—used for time synchronization,123,Official,False,True
REALM-RUSD (ApplianceWare Server Appliance Management Protocol),688,Official,True,True
Lotus Traveller[citation needed],8642,Unofficial,True,False
TeamSpeak—alternate,8768,Unofficial,False,True
MADCAP - Multicast Address Dynamic Client Allocation Protocol,2535,Official,True,False
[9] DukesterX —default[citation needed],8501,Unofficial,True,False
XBT Tracker,2710,Unofficial,True,False
XBT Tracker experimental UDP tracker extension,2710,Unofficial,False,True
Knuddels.de[citation needed],2710,Unofficial,True,False
OpenArena outgoing,27950,Unofficial,False,True
Palmer Performance OBDNet,1301,Unofficial,True,False
Altera Quartus jtagd,1309,Unofficial,True,False
OpenVPN,1194,Official,True,True
IDA Discover Port 1,5741,Official,True,True
IDA Discover Port 2,5742,Official,True,True
NetBIOS NetBIOS Name Service,137,Official,True,True
Unassigned,4,Official,True,True
DCE endpoint resolution,135,Official,True,True
Microsoft EPMAP (End Point Mapper), also known as DCE/RPC Locator service,[15] used to remotely manage services including DHCP server, DNS server and WINS. Also used by DCOM,135,Unofficial,True,True
TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list),9987,Unofficial,False,True
Cisco Audio Session Tunneling[citation needed],4224,Unofficial,True,False
